統計年,區域別,年底人口數,土地面積,人口密度
106,桃園市新屋區,48953,85.017,576
106,桃園市觀音區,66472,87.981,756
106,桃園市復興區,11505,350.778,33
106,臺中市中區,18450,0.88,20959
106,臺中市東區,75811,9.286,8164
106,臺中市南區,125067,6.81,18365
106,臺中市西區,115627,5.704,20271
106,臺中市北區,147653,6.938,21283
106,臺中市西屯區,227043,39.847,5698
106,臺中市南屯區,168760,31.258,5399
106,臺中市北屯區,274819,62.703,4383
106,臺中市豐原區,166879,41.184,4052
106,臺中市東勢區,50714,117.406,432
106,臺中市大甲區,77761,58.519,1329
106,臺中市清水區,86420,64.171,1347
106,臺中市沙鹿區,92645,40.46,2290
106,臺中市梧棲區,57993,16.605,3493
106,臺中市后里區,54482,58.944,924
106,臺中市神岡區,65553,35.044,1871
106,臺中市潭子區,108288,25.85,4189
106,臺中市大雅區,95203,32.411,2937
106,臺中市新社區,24754,68.887,359
106,臺中市石岡區,15066,18.21,827
106,臺中市外埔區,32185,42.41,759
106,臺中市大安區,19303,27.404,704
106,臺中市烏日區,74554,43.403,1718
106,臺中市大肚區,57322,37.002,1549
106,臺中市龍井區,77818,38.038,2046
106,臺中市霧峰區,65393,98.078,667
106,臺中市太平區,189066,120.747,1566
106,臺中市大里區,211492,28.876,7324
106,臺中市和平區,10949,1037.819,11
106,臺南市新營區,77966,38.539,2023
106,臺南市鹽水區,25583,52.246,490
106,臺南市白河區,28520,126.405,226
106,臺南市柳營區,21365,61.293,349
106,臺南市後壁區,23718,72.219,328
106,臺南市東山區,21049,124.918,169
106,臺南市麻豆區,44603,53.974,826
106,臺南市下營區,24239,33.529,723
106,臺南市六甲區,22275,67.547,330
106,臺南市官田區,21448,70.795,303
106,臺南市大內區,9761,70.312,139
106,臺南市佳里區,59380,38.942,1525
106,臺南市學甲區,26078,53.992,483
106,臺南市西港區,24758,33.767,733
106,臺南市七股區,22974,110.149,209
106,臺南市將軍區,19849,41.98,473
106,臺南市北門區,11188,44.1,254
106,臺南市新化區,43630,62.058,703
106,臺南市善化區,48386,55.31,875
106,臺南市新市區,36574,47.81,765
106,臺南市安定區,30564,31.27,977
106,臺南市山上區,7314,27.878,262
106,臺南市玉井區,14151,76.366,185
106,臺南市楠西區,9717,109.632,89
106,臺南市南化區,8787,171.52,51
106,臺南市左鎮區,4876,74.902,65
106,臺南市仁德區,75518,50.766,1488
106,臺南市歸仁區,68424,55.791,1226
106,臺南市關廟區,34433,53.641,642
106,臺南市龍崎區,4038,64.081,63
106,臺南市永康區,233905,40.275,5808
106,臺南市東區,186841,13.416,13927
106,臺南市南區,125394,27.268,4599
106,臺南市北區,132726,10.434,12721
106,臺南市安南區,192224,107.202,1793
106,臺南市安平區,66496,11.066,6009
106,臺南市中西區,77770,6.26,12423
106,高雄市鹽埕區,24219,1.416,17103
106,高雄市鼓山區,139259,14.752,9440
106,高雄市左營區,197072,19.382,10168
106,高雄市楠梓區,183751,25.828,7115
106,高雄市三民區,343243,19.787,17347
106,高雄市新興區,51153,1.976,25882
106,高雄市前金區,26991,1.857,14532
106,高雄市苓雅區,171033,8.152,20980
106,高雄市前鎮區,189839,19.121,9928
106,高雄市旗津區,28763,1.464,19648
106,高雄市小港區,157475,45.443,3465
106,高雄市鳳山區,359120,26.759,13421
106,高雄市林園區,69990,32.286,2168
106,高雄市大寮區,112397,71.04,1582
106,高雄市大樹區,42757,66.981,638
106,高雄市大社區,34577,26.585,1301
106,高雄市仁武區,85894,36.081,2381
106,高雄市鳥松區,44291,24.593,1801
106,高雄市岡山區,97329,47.942,2030
106,高雄市橋頭區,37579,25.938,1449
106,高雄市燕巢區,29922,65.395,458
106,高雄市田寮區,7245,92.68,78
106,高雄市阿蓮區,28844,34.616,833
106,高雄市路竹區,52761,48.435,1089
106,高雄市湖內區,29803,20.162,1478
106,高雄市茄萣區,30217,15.762,1917
106,高雄市永安區,13980,22.614,618
106,高雄市彌陀區,19383,14.777,1312
106,高雄市梓官區,36116,11.597,3114
106,高雄市旗山區,36940,94.612,390
106,高雄市美濃區,39973,120.032,333
106,高雄市六龜區,13016,194.158,67
106,高雄市甲仙區,6107,124.034,49
106,高雄市杉林區,12038,104.004,116
106,高雄市內門區,14540,95.622,152
106,高雄市茂林區,1924,194.0,10
106,高雄市桃源區,4246,928.98,5
106,高雄市那瑪夏區,3125,252.99,12
106,宜蘭縣宜蘭市,95918,29.408,3262
106,宜蘭縣羅東鎮,72319,11.345,6375
106,宜蘭縣蘇澳鎮,40056,89.02,450
106,宜蘭縣頭城鎮,29398,100.893,291
106,宜蘭縣礁溪鄉,35777,101.428,353
106,宜蘭縣壯圍鄉,24250,38.477,630
106,宜蘭縣員山鄉,32458,111.911,290
106,宜蘭縣冬山鄉,53289,79.857,667
106,宜蘭縣五結鄉,39673,38.867,1021
106,宜蘭縣三星鄉,21467,144.224,149
106,宜蘭縣大同鄉,6102,657.544,9
106,宜蘭縣南澳鄉,5900,740.652,8
106,新竹縣竹北市,181955,46.834,3885
106,新竹縣關西鎮,28896,125.519,230
106,新竹縣新埔鎮,33415,72.191,463
106,新竹縣竹東鎮,96918,53.513,1811
106,新竹縣湖口鄉,77444,58.43,1325
106,新竹縣橫山鄉,13064,66.35,197
106,新竹縣新豐鄉,56836,46.35,1226
